StadiumName,Capacity,City,OpeningDate
Luzhniki Stadium ,80000,Moscow,1956
Saint Petersburg Stadium ,67000,Saint Petersburg,2017
Fisht Stadium |,48000,Sochi,2013
Ekaterinburg Arena ,45000,Ekaterinburg,1957
Kazan Arena,45000,Kazan,2013
Nizhny Novgorod Stadium,45000,Nizhny Novgorod,2018
Rostov Arena ,45000,Rostov-on-Don,2018
Samara Arena,45000,Samara,2018
Mordovia Arena ,45000,Saransk,2018
Volgograd Stadium ,45000,Volgograd,2018
Spartak Stadium ,42000,Moscow,2014
Kaliningrad Stadium,35212,Kaliningrad,2018
